ID,Mass,RT,Col-root-NL-0V,Col-root-NL-5V,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V
1,446.2449,13.09,72417058.34,50147112.86,18943438.27,4487900.658,1549079.721,826858.1942,584082.5927,470697.3277,400685.6778,324720.1853
2,448.2585,14.38,121020488.4,88357749.03,41257482.76,1,177974.9236,92492.38619,14942.07787,2774644.169,2360321.489,1453462.633
3,791.5898,5.56,41296792.64,41512247.61,40278990.51,34786761.47,31219086.98,28644429.89,26553889.98,24186764.74,22185168.74,19751296.47
4,678.5055,5.28,40898212.71,40976707.2,39245211.97,35396759.93,33138781.75,31020442.68,28336961.51,24677495.37,22539232.95,20307993.41
5,468.2258,13.08,11570060.92,13920608.15,41137898.19,50143708.73,46008889.05,43030560.11,40796078,32878492.49,25430654.47,19731910.88
6,446.2441,13.09,74484814.16,49160109.06,17992766.18,2120009.549,1360791.471,652215.6103,173310.0171,238101.1746,150153.5224,30257.56725
7,470.2411,14.39,12697378.31,17575298.63,35725165.87,49075296.12,63337974.7,61340179.05,61573191.36,66698215.28,57978855.76,43192271.03
8,904.6739,5.78,26712599.1,27078730.56,26952196.79,24070297.78,19596521.19,17710932.37,16196072.57,14864427,13656230.65,12722877.64
9,892.4794,13.08,49915287.07,40084837.29,14207507.45,738294.5737,2045.971778,1,170436.2658,214194.1446,124664.2203,169017.1001
10,334.2516,13.08,23042606.37,41105129.92,55961434.78,50451102.29,43739619.67,35057899.27,27023062.6,23000971.32,20967990.16,18474535.61
11,477.2865,12.3,19612819.07,17874691.44,10257573.72,7084615.27,6339088.846,5276483.077,4264959.034,3470492.772,2998306.082,2641789.999
12,519.3338,12.35,20509225.25,21037009.06,20516101.4,15401283.09,9219169.882,6830202.997,6212947.973,6035652.532,5548131.571,4756660.553
13,364.1144,2.94,11913383.06,15860195.07,19951326.87,15471743.7,24882377.5,19485865.96,17679715.39,15226559.63,10881112.95,6554371.264
14,565.4216,4.9,19375547.69,19858588.87,19439485.22,19193365.57,18413608.66,16366414.8,13972933.56,12579349.64,11447790.99,10618678.48
15,201.1193,6.01,24724542.45,26671643.29,19890956.9,7975490.042,4232442.575,3198383.983,2133610.36,1111840.349,513323.5652,222829.3035
16,517.3181,11.62,17193159.13,17456813.09,17130211.41,12453180.24,7327087.847,5313398.58,4855605.444,4655822.311,4276357.886,3636231.236
17,446.2442,13.22,1,1,1,1,1,1,1,1,1,1
18,273.2679,10.02,15402136.19,15580296.17,15512174.92,14639262.54,10574478.78,3872596.722,841569.9851,121130.613,25036.76514,13942.17371
19,707.5069,18.39,2442403.152,36967210.78,31886505.01,22426741.52,6902115.331,1032573.121,369050.6343,273742.6009,92246.3418,126880.3937
20,475.2708,11.58,13039338.71,11743955.45,6428190.276,4109291.357,3291512.844,2626668.895,2092442.789,1681435.938,1362512.277,1141250.606
