ID,Mass,RT,Col-root-NL-0V-3,Col-root-NL-10V,Col-root-NL-15V,Col-root-NL-20V,Col-root-NL-20V-2,Col-root-NL-25V,Col-root-NL-30V,Col-root-NL-35V,Col-root-NL-40V,Col-root-NL-45V,Col-root-NL-5V
1,446.2421,13.06,320381738.9,234666580.2,146108472.4,100135855.6,98766533.04,88277142.09,76993283.26,56945850.44,35610851.59,22947697.87,304025405.3
2,446.2451,13.2,1,1,1,1,1,1,1,1,1,227916.22,1
3,446.2442,13.06,208232654,139094677.9,95561073.05,71337601.91,70688302.67,64647403.94,57485426.24,42659316.01,10351193.06,10906385.48,220366730.2
4,448.2605,14.32,102315720.1,32774074.19,1,1,532453.666,343321.5289,347678.8336,282809.3771,61275.36677,284975.1073,1
5,278.2259,13.05,15235711.74,97392626.2,144824146.4,118449271.6,166870664.2,175904458.9,145589907.8,120352874.2,104398629.2,89686043.85,27549120.48
6,477.1166,6.37,66732072.93,65092863,61829104.27,46311951.64,46083554.7,27745411.27,19676010.68,18981320.38,18307570.23,16623352.12,65446978.68
7,478.0722,4.43,67871136.1,53337904.51,35113954.02,28869191.54,28799772.71,28073578.3,26272780.25,21741015.18,16552077.13,12232695.05,65476301.5
8,446.2497,13.06,181165816.5,154387661.8,95148599.54,71433686.83,70771581.49,64590316.96,57396026.99,42773871.36,9592932.512,10769883.84,199185903
9,446.2715,13.03,1,1,1,1,15709.67942,22463.88698,31502.76751,39976.64398,72508.70541,841970.2971,1
10,388.1375,2.94,43739612.87,731899.6858,76592.48037,59723.67699,28253.7608,23201.47116,21358.79947,9377.531823,18123.43153,9586.363283,20751157.75
11,434.2432,13.7,31946311.73,26799857.12,14440673.33,6165035.697,5961400.754,4879472.055,4269108.743,3280654.972,2170180.703,1484186.135,31967093.09
12,279.2287,13.06,3796260.252,24507572.58,52127392.01,58454072.76,64494594.38,67167775.99,55074004.12,38708724.14,24042173.05,22772290.48,5447093.678
13,897.5209,14.28,59125886.77,12990440.39,683008.3916,48478.3997,38760.90894,1264.975042,1,37107.64543,683.6844749,49528.92812,46550297.69
14,450.2757,20.08,51536044.51,43882487.61,21821511.6,11307114.39,12907943.49,8242930.08,6130672.118,2145561.448,1,1,53731609.07
15,432.2281,12.68,24959152.4,19581016.93,10263604.69,4565538.263,4639964.528,3384392.478,2901947.377,2019356.17,1339700.988,843639.6897,25100396.51
16,477.2862,12.3,17815125.29,16143509.57,11691028.4,7512693.595,7370683.196,6196246.682,5866660.887,5041080.039,4159991.313,3201607.504,17500423.42
17,610.1542,3.96,31263293.14,34462087.46,40740242.96,42172581.91,41807872.69,36160804.88,33757208.78,30158582.38,28306852.59,27300470.76,32471812.97
18,896.5175,14.57,1,1,1,1,1,1,1,1,1,11394.58082,1
19,282.2565,20.1,1594063.234,10777.19775,10472925.52,52839227.66,14919128.57,1,1,1,1,1,2609339.643
20,449.264,14.71,1,1,1,1,1,1,1,1,1,1,1
21,422.2445,14.07,17370035.76,12273301.92,4945034.376,2391183.168,2220746.15,1776431.368,1547717.172,1303325.706,999679.5353,753898.6924,16193300
22,422.2439,14.06,17360161.03,12276085.94,4799271.785,2391184.489,1,1781282.701,1519935.222,1297051.484,994974.9298,751710.1839,16192873.06
23,449.2634,14.28,70773828.63,74213837.15,76575834.07,42928126.25,43426266.22,37103622.51,31402228.16,22513983.64,13789648.29,10290424.59,86877708.46
24,475.2709,11.58,15295562.43,14195810.91,9879391.021,6013181.041,5860030.367,4799668.293,4401211.918,3799456.852,3042317.585,2347214.157,15353498.28
25,837.5947,5.56,11974315.18,11863410.26,10668197.28,7022293.937,6828910.456,2874209.956,814617.3659,346504.7078,282295.957,312826.0771,11975869.73
26,724.5099,5.28,12921519.24,12059441.09,8792769.534,3798934.312,3681605.322,913843.227,285759.2877,189006.2703,217409.3765,246423.4952,12844676.86
27,594.1593,4.31,22131268.34,27219352.4,29924319.47,29075435.26,29605830.03,27543650.45,26599616.18,21058748.85,23397998.73,21687877.34,23746493.9
28,154.0029,13.71,760949.7055,8314324.69,22494600.56,28797936.72,28173605.12,29796469.41,29136652.25,27659004.07,25280861.41,22018840.85,1181614.624
29,493.1126,3.1,19980337.3,20923244.1,19604490.74,13553590.45,13447516.5,7049159.69,4587459.77,3787480.879,3303874.999,2940711.554,20311063.5
30,154.0033,12.68,682909.5143,8906089.163,22615014.59,26818933.5,26989510.88,27937857.45,26874778.09,24206574.34,19881195.82,16847896.23,1388180.901
31,450.2751,20.15,1,1,1,1,13689961.71,8244923.799,6130603.548,6321890.882,1311442.669,855891.2065,1
32,280.2403,12.3,302678.2781,2224549.451,9801470.612,15939698.06,16794844.71,19491444.54,20232973.43,17851746.92,16545963.45,13427182.24,391994.9921
33,447.0545,4.44,4217571.672,23089055.57,17291002.18,5090941.985,5055407.374,2866766.794,4541838.483,6335560.512,6624220.683,5489445.939,7746096.32
34,278.2255,13.05,16554226.79,97392626.2,144824146.4,108074807,166993997.5,175904458.9,142478441.4,120385336.7,100169566.6,88178513.57,23217520.06
35,896.5185,14.75,1,1,1,1,1,1,1,1,1555.366606,1,1
36,740.2164,3.64,19283265.09,20437721.15,21639585.35,20076497.01,19933107.57,15114153.2,10431367.64,7741508.513,6554043.006,6019877.454,19327780.52
37,422.2436,14.2,8032755.8,6416057.578,2148305.879,1461966.964,310932.5424,1252470.403,1081999.285,829753.8073,644045.5107,473415.3464,8998720.925
38,254.2252,14.07,990845.1892,6755176.974,15594839.1,18318453.13,16963280.38,16698605.56,14897532.82,11312171.34,7536963.75,5002239.97,1412447.385
39,282.2573,20.19,1,16816.39504,1,1,32801576.74,51122957.29,27625189.78,57977029.75,37546240.29,835884.0341,1
40,914.4683,13.05,8451229.221,11467417.65,16088627.01,17556669.14,16281833.91,14664993.09,13850435.59,16033358.33,14339653.26,12687053.67,8812594.282
41,450.2657,14.22,12230536.26,11908764.9,12351834.47,5468639.416,90202.40677,6442245.526,1,1046278.273,1,1,6945971.348
