ID,Mass,RT,72e123-1,72e123-2,72e123-3,72e123-4,72e123-5,Col-1,Col-2,Col-3,Col-4,Col-5
1,446.2421,13.06,156439866.4,358876043,380373412.3,213282295.7,188787749.1,362698128,171021186.8,420804817.4,449834489.1,299195164.5
2,446.2451,13.2,63814230.87,1,1,99871293.74,84946426.15,1,72471109.89,1,1,1
3,446.2442,13.06,1,263978111.2,1,177497587.7,159893881.2,1,142126334.2,1,1,222535832.6
4,448.2605,14.32,1,1,1,1,1,1,1,1,1,133641950.1
5,278.2259,13.05,1,22307626.08,1,11647447.6,1,23128210.83,1,1,11466628.04,20151501.42
6,477.1166,6.37,84592101.17,44663914.66,64251920.2,48459105.3,55570970.06,65620130.62,82350983.36,57840288.34,68129777.22,63810737.43
7,478.0722,4.43,79984052.67,48815068.68,58685024.66,39161507.57,53601931.62,67139335.92,85445512.46,61918532.65,68993282.87,66161816.69
8,446.2497,13.06,1,1,1,165178070.5,155606891.6,1,134506149.1,1,1,196809247.3
9,446.2715,13.03,15351.55738,1,1,16659.61101,1,1,14029.57554,1,1,8706.505946
10,388.1375,2.94,296820.5167,350379.4919,354518.8593,274541.2447,336607.2871,26825810.31,25891858.45,27634311.9,28051507.49,29079425.24
11,434.2432,13.7,33846927.1,15838221.41,22772157.6,36554383.79,28286374.45,34810796.69,32471363.53,33516586.12,28496781.41,38670995.5
12,279.2287,13.06,1,4439066.533,1,3348167.189,1,4252396.756,2249740.054,1,1,4543452.187
13,897.5209,14.28,1,1,1,1,1,75153054.46,1,1,1,58240695.65
14,450.2757,20.08,1,1,66592942.44,1,1,51615313.32,1,1,1,1
15,432.2281,12.68,30081435.38,15390869.87,14925356.55,33419004.97,23397757.89,25673338.03,26212233.54,24048527.5,22467991.96,35072248.41
16,477.2862,12.3,29238324.88,8601352.325,8128809.145,15893707.23,17080213.8,14063317.24,27480173.75,5697807.466,4397055.5,14340369.05
17,610.1542,3.96,30738959.73,28744144.01,29150715.04,30577638.74,29217488.66,27811218.4,29325547.92,29517839.38,28843820.53,29583167.09
18,896.5175,14.57,1,1,1,70853809.97,62547865.42,1,40996794.2,1,1,1
19,282.2565,20.1,1,1,1,1,1,1740273.585,1,1,1,1
20,449.264,14.71,2079359.243,1,1,1,1,1,22833622.67,1,1,1
21,422.2445,14.07,1,27582881.47,27051026.34,1,1,28288349.13,1,27298263.32,26633243.83,15064273.18
22,422.2439,14.06,1,1,1,1,1,1,1,27134169.78,26575866.85,1
23,449.2634,14.28,1,78265544.16,41268110.21,88416.87022,1,91158646.89,1,1,1,58156426.49
24,475.2709,11.58,28249301.78,5876820.385,5686671.319,13698158.95,13731692.26,11796482.05,26352323.97,4157692.006,3587235.524,11098626.28
25,837.5947,5.56,9891720.564,9191385.519,9637765.548,9661762.75,9690363.874,32907527.58,9675626.643,4623197.206,5139469.402,5885706.104
26,724.5099,5.28,10930133.44,10057443.26,10594801.15,10931123.71,10571904.09,33148025.38,10862372.94,5056595.653,5672819.153,6680086.419
27,594.1593,4.31,20070570.68,22196922.88,21811093.72,23667671.16,21926474.94,19616974.25,17726378.13,21505027.56,20374621.55,21020286.09
28,154.0029,13.71,1144387.296,535984.6002,602676.5298,1233277.425,962313.8869,1029602.385,925102.3255,999154.8517,900404.6946,1290771.653
29,493.1126,3.1,25904470.86,14654045.67,24593170.74,11451355.35,14415286.39,19954076.46,23379332.28,17066041.15,22009283.73,19254277.39
30,154.0033,12.68,1094305.296,525632.329,522666.6596,1326853.407,882084.2733,909108.4514,875188.4379,829747.8136,829274.1949,1298084.788
31,450.2751,20.15,1,7557288.681,66263414.84,1,1,1,1,1,1,1
32,280.2403,12.3,739316.5314,229814.0115,226857.4196,413661.953,465844.0054,310576.2805,630035.0155,151879.3303,102707.1494,343756.0926
33,447.0545,4.44,8753964.144,4573134.847,5863509.141,3572776.745,5269266.895,6689575.259,9016905.526,6083709.81,7110247.476,6875962.837
34,278.2255,13.05,1,22145391.64,27204274.93,1,1,23128210.83,1,31182192.07,11466628.04,20151501.42
35,896.5185,14.75,32964356.16,1,1164056.294,1,1,1,40993358.15,1,1,1
36,740.2164,3.64,16896424.66,17427270.91,16597126.24,15732318.9,16152318.93,14921671.1,15622923.52,15731779.86,14777557.66,16413059.53
37,422.2436,14.2,10346468.86,1,1,17692158.68,14985906.79,28045804.29,12373041.11,1,1,5587766.509
38,254.2252,14.07,1,2180642.489,2270915.258,1,1,1992883.379,1,2193654.855,2268720.765,1035272.078
39,282.2573,20.19,1,1498608.664,2309590.587,1,1,1,1,1,1,1
40,914.4683,13.05,1,15587256.99,15618405.79,1989974.987,1,4530553.242,1,1,1,7086862.453
41,450.2657,14.22,73639.11363,14249808.11,15408024.01,87282.24849,51356.26558,14705159.02,41865.62015,382073.5267,1,38553.6247
42,254.2245,14.2,915663.2218,1,1,1467268.399,1081747.916,2009859.566,996624.4718,1,1,940586.8179
43,950.6797,5.78,4785349.348,3978979.05,4514390.936,4543038.584,4486968.849,16818680.67,4529159.007,2665993.708,2990025.296,3119377.783
44,278.2255,11.58,653844.3401,144221.7668,144641.1971,333776.7908,342656.0222,254597.8964,572412.457,115918.1483,87015.72742,269893.4179
45,447.0927,3.96,1,1,1,1,1,1,1,25714.74802,1,1
46,450.2648,14.27,58011.29196,12757638.52,13497565.18,62299.39786,29633.76049,11744181.18,33199.55422,277306.8256,1,4522356.47
47,463.1003,5.49,14805718.05,5977251.461,11118495.55,6728696.068,8196202.142,10127351.29,14806080.87,9208194.901,11770006.86,10777828.77
48,594.1618,3.64,1,1,1,1,1,1,1,1,1,1
49,300.0265,3.98,14717.24612,14359.67993,13750.70036,16976.10778,15397.95709,9307.274171,1,2821.441011,15008.22028,15362.94106
50,335.1007,6.55,4348796.849,6690382.911,4742252.415,7520212.551,8109284.66,6311305.15,4552381.127,7312087.042,6396159.61,7565698.271
51,464.1531,5.07,8416948.101,9303389.795,7839948.519,3907975.47,9349841.668,9786005.398,10240475.1,9243984.743,9651910.775,11829529.38
52,478.0721,3.74,12513507.54,8219946.834,11850961.95,5889889.102,6414908.47,12227210.74,13476026.09,10997583.35,14182966.66,12464247.59
53,278.2244,13.21,10806522.81,1,1,11649022.38,14132105.02,1,10898331.91,1,1,1
54,918.4995,14.34,1,1,1,1,1,1,1,8572.19043,1,3299449.524
55,611.4265,4.9,3857024.616,3696825.985,4171063.517,4710297.551,4112068.005,13894923.09,4024982.976,1836742.207,2089980.802,2450737.498
56,484.2806,14.52,12145509.14,1,1,3900277.792,4770113.597,1,12155514.44,1,1,1
57,508.2811,13.26,12145605.46,7796880.139,6981119.829,4689801.626,5625892.469,6252170.405,11238086.11,6379774.633,5675832.584,4613018.428
58,756.2132,3.4,7583027.837,7042847.32,7433942.382,6731414.531,6458630.918,7117497.325,7276004.22,7242307.48,7015677.736,7926549.483
59,565.3392,12.35,11733866.84,2332846.594,2476096.394,6648136.704,7247364.374,5862658.993,10841091.59,2955324.516,2550170.863,5389098.227
60,418.1482,3.16,21015.97404,23291.66379,24765.43436,16072.24302,20492.59563,9370854.488,8614451.296,9650950.133,9715164.022,9960682.314
61,563.3233,11.63,11159529.13,1659268.751,1835482.193,5306599.132,6435969.96,5082504.955,10997033.17,2258229.521,2122724.341,4821348.181
62,284.0311,4.31,11299.84674,10380.56443,12022.86808,10575.79316,4329.168398,2887.771231,8177.724703,1,11959.0495,1123.061829
63,740.2165,4.26,6823247.376,6949307.709,6746060.228,6154807.377,5993993.93,5870205.444,5811726.998,6328897.731,5686533.302,6378650.342
64,304.0803,1.88,1005275.71,657391.912,286558.0142,1954688.94,1192935.672,7344159.561,6789544.556,5616685.754,8603287.464,8722536.83
65,791.5871,5.57,45528.58546,50006.80581,48300.04526,47033.29093,51170.80247,140731.802,52867.45076,22673.11225,32456.09938,34397.54527
66,286.0483,4.3,1,1,1,1,1,1,1,1,1,1
67,678.5045,5.29,94751.98541,83421.6142,83355.10428,93421.53867,90141.82704,223692.9087,79310.08857,49450.44499,52566.79221,56841.37554
68,424.2609,19.53,1,1,1,1,1,1,1,9585620.318,11093670.08,2301.819763
69,116.9281,21.39,10971693.78,9635236.198,10981225.46,10974180.79,10133448.96,7953991.568,10521920.11,13980045.12,9467605.051,12459632.07
70,431.0981,4.31,37181.74606,39227.7561,25852.27565,42952.1983,20808.17367,27815.77714,16821.2099,37569.50294,35881.81915,29602.57503
71,194.0587,2.9,24714.8738,22396.12079,26429.20752,20407.62923,26443.42579,466313.3585,399079.2395,538767.3896,470237.9855,477665.5753
72,976.2146,6.37,10491615.31,5019501.107,7970809.814,5693155.288,6730879.367,7909043.584,10114660.5,6991431.559,8406038.114,7769121.641
73,186.0292,13.04,1,652050.9541,1,1,1,561269.6583,1,1,1,504975.5433
74,180.0792,2.93,17311.54315,14752.61014,19194.69847,13823.30089,12506.96637,1102638.647,1009944.767,1097431.953,1077005.503,1139161.477
75,116.9332,21.39,9187113.57,9215100.734,9559998.82,9123210.975,9645571.56,8346987.735,8973025.831,9080669.304,9082466.231,9275034.208
76,450.2753,21.25,2738220.392,2915017.056,3097750.153,12841548.19,11571897.29,2427373.874,8953454.901,793437.4669,847890.4217,7784023.635
77,624.169,4.39,2358699.555,6958213.179,4827692.587,9106498.915,5962893.564,2644927.485,1906553.887,4287919.184,2384044.439,3353473.904
78,342.1321,2.93,1,1,1,1,1,918227.3508,750757.272,917649.1632,987316.1878,1004031.785
79,111.9924,13.07,1,97742.06598,108263.7294,1,1,17160.54208,1,15024.51249,159301.2054,1037.116295
80,162.0536,1.44,6780188.117,6296188.195,6404730.705,8574590.638,6860111.312,8173274.593,8131899.506,7080187.535,8662974.651,8397166.459
81,448.0627,3.05,7359199.82,3042840.823,5548901.915,3136408.639,3400549.543,6454527.32,8366616.182,5724245.177,6949936.707,6765304.196
82,978.1269,4.47,7196374.069,5018790.709,5765080.236,4010681.913,5483225.03,6166188.209,5995791.323,5860450.467,6474609.46,6124126.743
83,548.1839,14.27,2384.965052,1474302.835,60673.85695,1,1,3298387.911,1,204742.4016,270352.8532,1
84,790.2699,6.75,6702601.208,3594936.764,3169252.936,2205386.098,3735027.418,6804504.439,6797537.233,6579684.238,3129155.614,4548546.038
85,450.2649,14.86,8365728.006,1,1,1,1,336041.1314,328269.3602,247543.8281,238276.8722,1
86,506.265,12.29,8199652.686,6117403.777,5911669.219,3491621.153,3552724.872,5474865.711,7979997.962,5624302.98,5108537.976,3730379.533
